Time,Open,High,Low,Last,Change,%Chg,Volume
08/07/2020,3340.05,3352.54,3328.72,3351.28,2.12,+0.06%,0
08/06/2020,3323.17,3351.03,3318.14,3349.16,21.39,+0.64%,0
08/05/2020,3317.37,3330.77,3317.37,3327.77,21.26,+0.64%,0
08/04/2020,3289.92,3306.84,3286.37,3306.51,11.9,+0.36%,0
08/03/2020,3288.26,3302.73,3284.53,3294.61,23.49,+0.72%,0
07/31/2020,3270.45,3271.63,3220.26,3271.12,24.9,+0.77%,0
07/30/2020,3231.76,3250.92,3204.13,3246.22,-12.22,-0.38%,0
07/29/2020,3227.22,3264.74,3227.22,3258.44,40,+1.24%,0
07/28/2020,3234.27,3243.72,3216.17,3218.44,-20.97,-0.65%,0
07/27/2020,3219.84,3241.43,3214.25,3239.41,23.78,+0.74%,0
07/24/2020,3218.58,3227.26,3200.05,3215.63,-20.03,-0.62%,0
07/23/2020,3271.64,3279.99,3222.66,3235.66,-40.36,-1.23%,0
07/22/2020,3254.86,3279.32,3253.1,3276.02,18.72,+0.57%,0
07/21/2020,3268.52,3277.29,3247.77,3257.3,5.46,+0.17%,0
07/20/2020,3224.29,3258.61,3215.16,3251.84,27.11,+0.84%,0
07/17/2020,3224.21,3233.52,3205.65,3224.73,9.16,+0.28%,0
07/16/2020,3208.36,3220.39,3198.59,3215.57,-10.99,-0.34%,0
07/15/2020,3225.98,3238.28,3200.76,3226.56,29.04,+0.91%,0
07/14/2020,3141.11,3200.95,3127.66,3197.52,42.3,+1.34%,0
07/13/2020,3205.08,3235.32,3149.43,3155.22,-29.82,-0.94%,0
07/10/2020,3152.47,3186.82,3136.22,3185.04,32.99,+1.05%,0
07/09/2020,3176.17,3179.78,3115.85,3152.05,-17.89,-0.56%,0
07/08/2020,3153.07,3171.8,3136.53,3169.94,24.62,+0.78%,0
07/07/2020,3166.44,3184.15,3142.93,3145.32,-34.4,-1.08%,0
07/06/2020,3155.29,3182.59,3155.29,3179.72,49.71,+1.59%,0
07/02/2020,3143.64,3165.81,3124.52,3130.01,14.15,+0.45%,0
07/01/2020,3105.92,3128.44,3101.17,3115.86,15.57,+0.50%,0
06/30/2020,3050.2,3111.51,3047.83,3100.29,47.05,+1.54%,0
06/29/2020,3018.59,3053.89,2999.74,3053.24,44.19,+1.47%,0
06/26/2020,3073.2,3073.73,3004.63,3009.05,-74.71,-2.42%,0
06/25/2020,3046.6,3084.98,3024.01,3083.76,33.43,+1.10%,0
06/24/2020,3114.4,3115.01,3032.13,3050.33,-80.96,-2.59%,0
06/23/2020,3138.7,3154.9,3127.12,3131.29,13.43,+0.43%,0
